name,id,tags,planetary,decivRemove,script,desc,icon,order
Retrograde Moon,sol_retrograde_moon,,TRUE,,soljars.econ.conditions.AccessCondition,"While $market is physically proximate to Neptune's other moons, it is separated by its retrograde orbit, adding to the costs of sub light shipment.",graphics/icons/markets/retrograde_moon.png,22
Fast  Moon,sol_fast_moon,,TRUE,,soljars.econ.conditions.AccessCondition,"$market zips around it's parent at extreme speeds, making rendevous painfully hard.",graphics/icons/markets/fast_moon.png,22
Fast Rotator,sol_fast_rotator,,TRUE,,soljars.econ.conditions.FastRotator,"Throwing something on $market will result in orbit, but unlike with tiny objects, it will come back down with some force.
The low boundary between orbit and surface means more precautions, but also marginally easier transit.",graphics/icons/markets/fast_rotator.png,22
Contact Binary,sol_contact_binary,,TRUE,,soljars.econ.conditions.ContactBinary,"$market is the collapsed remnant of an ancient binary system whose end, rather than shattering one or both bodies, resulted in two individually identifiable lobes. The increased surface area makes extraction easier compared to other bodies, but unfortunately, it's the complex geometry that makes most low orbits unsuitable.",graphics/icons/markets/contact_binary.png,61
Tiny,sol_tiny_polity,,TRUE,,soljars.econ.conditions.TinyPolity,"$market is tiny, as $market grows it will exhaust it's natural resourses.",graphics/icons/markets/sol_tiny_polity_2.png,23
Tiny,sol_tiny_stripped,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market has been hollowed out and is more a space station than a rock. As part of this, $market has exhausted it's economically viable deposits.",graphics/icons/markets/sol_tiny_polity_2.png,23
,,,,,,,,
Goblin World,sol_goblin_world,,,,soljars.econ.conditions.GoblinWorld,"The population of $market consists of a distorted variant of humanity that can survive on $market without technology, which they entirely lack. The goblins of $market are supported by a genetically engineered ecosystem that, despite the extreme cold, darkness, and lack of resources, manages to prosper. 
The population of $market is completely unsuitable for work and organ transplant; however, when served, they do not get recognized as being of the most dangerous game.",graphics/icons/markets/goblin_subpop.png,3008
Goblin Subpopulation,sol_goblin_subpop,,,,soljars.econ.conditions.GoblinSubpop,"Civilization is but a island on $market tossed in a sea of green flesh, but at the end of a rifle and the points of a fork, this island stands.",graphics/icons/markets/goblin_subpop.png,3009
Degenerate,sol_degenerate,,,,soljars.econ.conditions.Degenerate,There are no polities here. Civillization has collapsed and with it - the population. All that is left are tribals kept alive by inertia and the fading light of automated systems.,graphics/icons/markets/degenerate_subpop.png,3010
